file,signal,occurrences,classification
src/lib/provenance/exporters/__tests__/exporters.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/lib/provenance/types.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/lib/retry.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/pages/ConnectMonitor.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/pages/DataCentreTwin.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/pages/IntelligenceDashboard.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/pages/IntelligenceDashboard.tsx,nondeterministic_random,3,LEGACY_SYNTHETIC
src/pages/Search.tsx,nondeterministic_random,1,LEGACY_SYNTHETIC
src/pages/Teams.tsx,nondeterministic_random,1,LEGACY_SYNTHETIC
src/pages/__tests__/intelligenceInfrastructureProvenance.test.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/pages/blueprint/operatorModel.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/pages/dsx/workspaces/index.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/pages/test/OverlayFixtures.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/simulation/__tests__/characterization/builder.mockSimulationEngine.spec.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/simulation/__tests__/characterization/dataCenter.simulationEngine.spec.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/simulation/compat/dataCenterEngine.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/simulation/compat/sovereignDataCenterEngine.ts,nondeterministic_random,2,LEGACY_SYNTHETIC
src/simulation/customScenarioBuilder.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/simulation/generateSimulationResult.ts,nondeterministic_random,4,LEGACY_SYNTHETIC
src/simulation/providers/types.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/sovereignty/copilotAwareness.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/sovereignty/index.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/sovereignty/mockData.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/sovereignty/useSovereignty.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/three/textures.ts,nondeterministic_random,2,LEGACY_SYNTHETIC
src/twins/dataCenter/__tests__/omniverseAdapter.test.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/twins/dataCenter/index.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/dataCenter/mockData.ts,nondeterministic_random,10,LEGACY_SYNTHETIC
src/twins/dataCenter/omniverseAdapter.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/dataCenter/omniverseAdapter.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/__tests__/generatePlaybook.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/__tests__/mockData.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/__tests__/simulationEngine.test.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/components/SovereignDCSimulationDashboard.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/enhancedSimulationEngine.ts,nondeterministic_random,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/hooks/useSovereignDCTwin.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/index.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/mockData.ts,nondeterministic_random,56,LEGACY_SYNTHETIC
src/twins/sovereignDataCenter/templateDefinition.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/workspace/AuraWorkspace.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/workspace/CommandCentre.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/workspace/dashboard/RecentSimulations.tsx,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/workspace/runFixtures.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
src/workspace/workspaceStore.ts,mock_demo_fixture_symbol,1,LEGACY_SYNTHETIC
